id,code,uic,name_short,name_medium,name_long,slug,country,type
55,AVTGV,8731896,Avignon,Avignon TGV,Avignon TGV,avignon-tgv,F,megastation
102,BRN,8400086,Baarn,Baarn,Baarn,baarn,NL,knooppuntStoptreinstation
76,BH,8021156,Bentheim,Bad Bentheim,Bad Bentheim,bad-bentheim,D,knooppuntIntercitystation
361,NSCH,8400457,Nweschans,Bad Nieuweschans,Bad Nieuweschans,bad-nieuweschans,NL,knooppuntStoptreinstation
558,OEYNH,8013585,Bad Oeynh,Bad Oeynhausen,Bad Oeynhausen,bad-oeynhausen,D,intercitystation
58,BADENZ,8503504,Baden (CH),Baden (CH),Baden (CH),baden-ch,CH,stoptreinstation
74,BF,8400089,Baflo,Baflo,Baflo,baflo,NL,stoptreinstation
98,BRD,8400090,Barendrcht,Barendrecht,Barendrecht,barendrecht,NL,stoptreinstation
87,BNC,8400091,Barnevld C,Barneveld C.,Barneveld Centrum,barneveld-centrum,NL,stoptreinstation
89,BNN,8400092,Barnevld N,Barneveld Noord,Barneveld Noord,barneveld-noord,NL,stoptreinstation
764,BNZ,8400115,Barnevld Z,Barneveld Zuid,Barneveld Zuid,barneveld-zuid,NL,stoptreinstation
59,BASELB,8014431,Basel Bad,Basel Bad Bf,Basel Bad Bf,basel-bad-bf,D,stoptreinstation
60,BASELS,8500010,Basel SBB,Basel SBB,Basel SBB,basel-sbb,CH,megastation
64,BDM,8400094,Bedum,Bedum,Bedum,bedum,NL,stoptreinstation
78,BK,8400096,Beek-E,Beek-Elsloo,Beek-Elsloo,beek-elsloo,NL,stoptreinstation
106,BSD,8400097,Beesd,Beesd,Beesd,beesd,NL,stoptreinstation
82,BL,8400100,Beilen,Beilen,Beilen,beilen,NL,stoptreinstation
781,LLB,8894433,Belsele,Belsele,Belsele,belsele,B,stoptreinstation
75,BGN,8400108,Bergen opZ,Bergen op Zoom,Bergen op Zoom,bergen-op-zoom,NL,stoptreinstation
810,GSB,8007799,Berlin Gsb,Berlin Gesundbr.,Berlin Gesundbrunnen,berlin-gesundbrunnen,D,intercitystation
68,BERHBL,8065969,Berlin Hbf,Berlin Hbf,Berlin Hbf,berlin-hbf,D,megastation
561,BHF,8003004,Berlin Ost,Berlin Ostbhf,Berlin Ostbahnhof,berlin-ostbahnhof,D,knooppuntIntercitystation
562,BSPD,8003025,Berlin-Spa,Berlin-Spandau,Berlin-Spandau,berlin-spandau,D,intercitystation
73,BET,8400112,Best,Best,Best,best,NL,stoptreinstation
782,FBR,8894748,Beveren,Beveren,Beveren,beveren,B,stoptreinstation
111,BV,8400113,Beverwijk,Beverwijk,Beverwijk,beverwijk,NL,stoptreinstation
563,BIELEF,8013597,Bielefeld,Bielefeld Hbf,Bielefeld Hbf,bielefeld-hbf,D,stoptreinstation
77,BHV,8400114,Bilthoven,Bilthoven,Bilthoven,bilthoven,NL,stoptreinstation
748,FIE,8831138,Bilzen,Bilzen,Bilzen,bilzen,B,stoptreinstation
97,BR,8400117,Blerick,Blerick,Blerick,blerick,NL,stoptreinstation
83,BLL,8400118,Bloemendl,Bloemendaal,Bloemendaal,bloemendaal,NL,stoptreinstation
63,BDG,8400121,Bodegraven,Bodegraven,Bodegraven,bodegraven,NL,stoptreinstation
567,KBOI,8015128,Boisheim,Boisheim,Boisheim,boisheim,D,intercitystation
679,ALESS,8305043,Bologna C,Bologna Centrale,Bologna Centrale,bologna-centrale,I,intercitystation
